Ticker,TrailingPE,ForwardPE,actualRatio
EOG,13.39233,9.442098,0.7050377342852214
EQT,10.666034,12.08851,1.133365035213651
EFX,28.663733,15.843682,0.5527431475865338
EQIX,74.47339,56.05845,0.7527312775744465
EQR,26.452,42.293427,1.5988744518372902
ERIE,20.427656,15.922198,0.7794432214836593
ESS,31.221846,46.853905,1.500676961893925
EG,7.17332,5.8119855,0.8102225329415109
EVRG,22.36968,18.477795,0.8260196390829015
ES,14.925053,14.04534,0.941057964752286
EXC,16.860806,15.154258,0.8987860959909034
EXE,7.0349708,9.736793,1.3840559224496
EXPD,25.919355,23.555176,0.9087871206671616
EXR,32.284756,30.086422,0.9319079877822214
XOM,25.26307,14.259118,0.5644253845633171
FFIV,32.648026,22.710646,0.6956208010861055
FDS,14.859716,11.891814,0.8002719567453375
FICO,40.00921,23.264042,0.5814671671847557
FAST,39.336285,32.505283,0.8263434892237537
FRT,20.824957,38.87277,1.8666434701401784
FDX,21.367521,17.852776,0.8355099311707708
FIS,8.182171,6.192968,0.7568856725189439
FITB,16.77441,10.138628,0.604410408473383
FSLR,17.449903,11.5158825,0.6599396283177047
FE,25.347826,15.827015,0.624393389792087
FISV,9.425424,6.208344,0.6586806068352999
FTNT,51.922485,39.10887,0.7532164533342347
FTV,35.482353,18.755869,0.5285971029035194
FOXA,17.094736,11.434002,0.6688609873823146
FOX,15.284211,11.013913,0.7206072331767731
FCX,34.05291,17.262236,0.5069239603898757
GRMN,26.651398,23.104528,0.8669161745286307
IT,15.617211,10.29494,0.6592047709414953
GE,39.01861,36.243843,0.9288860623174428
GEHC,15.390887,11.969593,0.7777065090530519
GEV,31.327774,43.671993,1.3940343479239858
GD,21.702772,18.9927,0.8751278408122244
GIS,8.107579,10.171654,1.2545858634248277
GILD,18.194557,13.945083,0.7664425685110113
GL,10.840249,9.414635,0.8684888142329572
GDDY,14.103011,8.260213,0.5857056340663707
GS,18.174707,15.209428,0.83684584296187
HAL,22.696135,14.148685,0.6233962302392015
HIG,9.525686,9.391196,0.9858813318011953
HCA,13.513085,11.8419695,0.8763335315362849
DOC,62.593754,148.37038,2.3703703727371908
HSIC,22.326284,12.508421,0.5602553922542596
HSY,35.524162,19.30661,0.5434782669890988
HLT,49.436638,31.08951,0.6288758956464636
HD,22.039745,19.28075,0.8748172903089396
HON,36.95694,20.221977,0.5471767143058921
HRL,23.47191,13.389824,0.5704616283889977
HST,15.721088,23.11,1.4700000407096505
HWM,60.763344,43.71544,0.7194376925667554
HPQ,9.253788,8.207931,0.8869806613248542
HUBB,28.270254,21.9508,0.7764627795703569
HUM,32.23184,19.489132,0.6046546520459274
HBAN,12.353847,8.43514,0.6827945983141932
HII,20.854452,15.721986,0.7538911115957398
IBM,22.184956,18.632164,0.8398558013818013
IEX,31.232248,22.882257,0.7326484151893261
IDXX,41.001472,33.737732,0.8228419701614615
ITW,23.250696,20.573893,0.8848721345804014
INCY,13.714689,10.708492,0.7808045811319527
PODD,36.018738,19.084846,0.5298588195955116
IBKR,35.575108,29.026972,0.815934894702217
ICE,21.92722,17.149656,0.7821172040960962
IFF,23.489164,15.784678,0.6719982882319695
INTU,18.580587,11.170997,0.601218734370448
ISRG,52.990295,37.037163,0.6989423818078385
INVH,30.947369,44.26111,1.4302059086185972
IQV,20.149254,11.417955,0.5666688702221928
JBHT,41.557453,29.46435,0.7090027870572337
JBL,51.177658,26.061176,0.5092295548186281
JKHY,19.184359,19.423077,1.012443365973291
JNJ,26.703016,18.110092,0.6782039901410387
JCI,42.880733,24.586025,0.5733583192246271
JPM,14.676555,13.02409,0.8874078419629129
KVUE,20.821428,14.208076,0.6823775967719409
KDP,21.888887,11.705426,0.5347657009696289
KEY,13.355828,10.096981,0.7559981305539424
KEYS,57.37742,30.004148,0.522926056975026
KMB,19.104448,13.035863,0.6823470115441179
KIM,28.206898,28.701756,1.017543864624887
KMI,22.060402,21.505445,0.9748437494475396
KLAC,56.96375,40.344986,0.7082571986570406
LHX,34.072826,22.993742,0.6748410595587229
LH,22.912235,13.293318,0.5801842552679823
LRCX,61.113632,40.68376,0.6657067935350331
LVS,18.357933,13.521741,0.7365611912844436
